brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material,CMR Discount,Event Discount
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Slip Ins Ultra Flex 3.0,,Código: 72778443,233889.99999999997,272889.99999999994,389900.0,,,40.01,30.01
Under Armour,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,,Tenis Under Armour Mujer Running Surge 3,4.9,Código: 42790553,216889.99999999997,247889.99999999997,309900.0,Running,,30.01,20.01
Reebok,Tenis,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Cross Training Nanoflex Tr 2 | Tenis para Mujer de Cross Training Color Azul,4.0,Código: 72804665,272990.0,311990.0,389990.0,Cross training,,30.0,20.0
Nike,Tenis,Hombre,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Hombre Running Revolution7,,Código: 72875577,,,344990.0,Running,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Go Walk Air 2.0 Clas,,Código: 72778360,227889.99999999997,265889.99999999994,379900.0,,,40.01,30.01
Nike,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Nike para Mujer Running Revolution 6 Nn,5.0,Código: 72784006,251990.0,287990.0,359950.0,Running,Poliéster,29.99,19.99
Nike,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,Toda temporada,Vietnam,Sintético,Tenis Nike Hombre Cross Training Renew Retaliation 4,4.8,Código: 56488644,,,,Cross training,,,
Nike,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Moda Blazer LoPlatform,5.0,Código: 72783810,384990.0,439990.0,549990.0,,Poliéster,30.0,20.0
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Energen Run 3,5.0,Código: 72713886,223889.99999999997,255889.99999999997,319900.0,Running,,30.01,20.01
Skechers,Tenis moda,Mujer,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Gorunsupersonic,4.0,Código: 72791525,221990.0,258990.0,369990.0,,Poliéster,40.0,30.0
