type,gender,last_type,material,brand,sole_material,lining_material,season,made_in,insole_material,name,rating,code,cmr price,event price,full price,discipline,interior_material
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793527,13989.0,15989.0,199900.0,,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793543,13989.0,15989.0,199900.0,,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis moda Skechers Bounder Rozerg para Niño,0.0,72882966,,,179990.0,,
,Hombre,,Textil,,,,,,,Tenis Hombre Reebok Rider V - Gris-Blanco,0.0,128281449,186459.0,2049.0,272900.0,,
,Hombre,,Cuero,,Goma,,,,,Tenis New Balance 515-Verde,5.0,126747483,291191.0,31999.0,359990.0,Outdoor,
,Hombre,,Textil,,,,,,,Tenis Hombre Adidas Duramo SL - Negro,1.0,122253289,271089.0,2979.0,398900.0,Running,
Tenis,Unisex,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas Unisex Running Response Runner,4.8,72864306,,,199990.0,Running,
Tenis deportivos,Hombre,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Supernova Stride,4.8,72905263,,,699990.0,Running,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Go Walk Air 2.0 Clas,0.0,72778356,26589.0,30389.0,379900.0,,
,Mujer,Normal,Textil,,Caucho,Textil,,,,Tenis Mujer Adidas Runfalcon 2.0 - Naranja,0.0,121539060,255619.0,2809.0,375900.0,Running,
,Hombre,Normal,Sintético,,Goma,,,,,Tenis Hombre Nike Kyrie 8 - Verde,0.0,123336069,671535.0,73795.0,786950.0,Básquetbol,
,Mujer,Normal,Textil,,Cuero,Textil,,,,Tenis Mujer Adidas Alphabounce sustainable - Blanco,5.0,122241113,386659.0,4249.0,569900.0,Running,
Tenis moda,Mujer,Normal,Sintético,on running,Caucho,,Toda temporada,Vietnam,Sintético,Tenis On Running Mujer Moda Cloud 5,0.0,70110761,,,799990.0,,Sintético
Tenis deportivos,Hombre,Normal,Tela,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas Running Response Runner U | Zapatillas Adidas Running Response Runner U,4.8,63085463,,,199990.0,Running,
Tenis moda,Unisex,Normal,Tela,vans,Caucho,Textil,Toda temporada,China,Textil,Tenis Vans Unisex Moda Authentic,5.0,28053942,18899.0,21599.0,269990.0,,
Tenis,Mujer,Normal,Sintético,asics,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Asics para Mujer Running Gt 1000 12,0.0,71282069,38499.0,43999.0,549990.0,Running,
,Hombre,,,,,,,,,ZAPATILLA ADIDAS HOMBRE BLANCO VL COURT BASE - ID3711,0.0,128907856,,,249950.0,Tenis,
,Hombre,,Cuero,,Goma,,,,,Tenis New Balance 237 Shifted-Negro,5.0,129576616,327591.0,35999.0,529990.0,Outdoor,
Tenis moda,Unisex,Normal,Tela,converse,Caucho,Poliéster,Toda temporada,Vietnam,Poliéster,Tenis Converse Unisex Moda Chuck Taylor All Star,5.0,72807285,,,299990.0,,
,Hombre,,,,,,,,,ZAPATILLAS ADIDAS HOMBRE DURAMO RC U ID2702,0.0,128395821,242929.0,266955.0,299950.0,Running,
,Hombre,Normal,Textil,,Caucho,Textil,,,,Tenis Hombre Adidas Duramo SL - Azul-Blanco,5.0,122241203,271089.0,2979.0,398900.0,Running,
Tenis moda,Mujer,Normal,Sintético,adidas,Caucho,Sintético,Toda temporada,Vietnam,Sintético,Tenis Adidas para Mujer Moda Court Platform,4.7,72889168,21599.0,25199.0,359990.0,Lifestyle,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,,Toda temporada,China,Poliéster,Tenis Skechers Illumi Brights Therm para Niño Velcro,5.0,72794533,,,169900.0,,Poliéster
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793527,13989.0,15989.0,199900.0,,
Tenis moda,Hombre,Normal,Cuero,adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Adidas para Hombre Moda VL Court 3.0,4.8,72888850,,,279990.0,Lifestyle,
Tenis deportivos,Mujer,Normal,Tela,asics,Caucho,Poliéster,Toda temporada,Brasil,Poliéster,Tenis Asics para Mujer Running Gel-Equation 12,5.0,72713763,25899.0,29599.0,369990.0,Running,
Tenis moda,Hombre,Normal,Cuero,adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Adidas para Hombre Moda VL Court 3.0,4.8,72888871,,,329990.0,Lifestyle,
Tenis moda,Niño,Normal,Sintético,skechers,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis moda Skechers Bounder Rozerg para Niño,0.0,72882966,,,179990.0,,
Tenis moda,Mujer,Normal,Cuero,adidas,Caucho,Textil,Toda temporada,India,Textil,Tenis Adidas para Mujer Moda Samba,4.9,72905183,,,599990.0,Lifestyle,
Tenis,Mujer,Normal,Tela,fratta,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Sabi2,4.4,883014804,,,149990.0,Running,
Tenis moda,Hombre,Normal,Tela,bearcliff,Goma,,Toda temporada,China,,Tenis Moda Bearcliff Atrillon Hombre,4.6,882678628,,,109990.0,,Sintético
Tenis moda,Mujer,Normal,Cuero,skechers,Caucho,Poliéster,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Skech Aircourt Coola,4.9,72791596,22399.0,25599.0,319990.0,,
Tenis moda,Hombre,Normal,Cuero,nike,Sintético,Poliéster,Toda temporada,Indonesia,Poliéster,Tenis Nike para Hombre Moda Air Max Sc,5.0,72875591,,,404990.0,Lifestyle,
Tenis deportivos,Hombre,Normal,Sintético,fratta,Sintético,,Toda temporada,China,,Tenis Fratta Hombre Running Vexel2,4.6,882758873,,,129990.0,Running,Sintético
Tenis deportivos,Hombre,Normal,Tela,new balance,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis New Balance Hombre Running 430,4.7,66428926,19999.0,22749.0,454990.0,Running,
Tenis,Mujer,Normal,Tela,fratta,Goma,Poliéster,Toda temporada,China,Poliéster,Tenis Fratta para Mujer Running Sabi2,4.9,882814814,8999.0,10499.0,149990.0,Running,
Tenis deportivos,Hombre,Normal,Sintético,fratta,Sintético,Sintético,Toda temporada,China,,Tenis Fratta Hombre Running Zoenty,4.6,882678778,,,129990.0,Running,
Tenis moda,Mujer,Normal,Cuero,nike,Goma,Sintético,Toda temporada,Vietnam,Sintético,Tenis Nike Mujer Moda Air Max System,4.8,70530291,37799.0,43199.0,539950.0,,
Tenis deportivos,Hombre,Normal,Tela,diadora,Goma,,Toda temporada,Vietnam,Sintético,Tenis Diadora para Hombre Running Snipec | Zapatillas para hombre Diadora,4.8,882861332,13199.0,15399.0,219990.0,Running,Sintético
Tenis deportivos,Hombre,Normal,Sintético,fratta,Sintético,Sintético,Toda temporada,China,,Tenis Fratta Hombre Running Vexel2,4.8,882758792,,,129990.0,Running,
Tenis moda,Niño,Normal,Sintético,nike,Sintético,Textil,Toda temporada,Indonesia,Textil,Tenis Nike Air Max Sc Bpv Niño Velcro,4.7,54793540,27999.0,31999.0,399950.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Moda Urban Court,4.8,72889023,17999.0,20999.0,299990.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,nike,Sintético,Textil,Toda temporada,Indonesia,Textil,Tenis Nike para Hombre Moda Air Max SC C/O,4.9,53880100,,,469950.0,,
Tenis moda,Mujer,Normal,Cuero,adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Adidas para Mujer Moda VL Court 3.0,4.8,72888897,,,329990.0,Lifestyle,
Tenis deportivos,Mujer,Normal,Sintético,reebok,Goma,Sintético,Toda temporada,China,Textil,Tenis Deportivos Reebok para Mujer de Running Zig Dynamica,4.9,72790795,,,389990.0,Running,
Tenis,Hombre,Normal,Tela,fratta,Sintético,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Rollinarew,4.3,883014557,,,129990.0,Running,
Tenis,Mujer,Normal,Sintético,reebok,Goma,Textil,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Cross Training Nanoflex Tr 2 | Tenis para Mujer de Cross Training Color Azul,4.0,72804665,27299.0,31199.0,389990.0,Cross training,
Tenis deportivos,Hombre,Normal,Tela,on running,Caucho,Textil,Toda temporada,Vietnam,Textil,Tenis Onrunning para Hombre Running Cloudmonster,0.0,72901711,,,999990.0,Running,
Tenis deportivos,Mujer,Normal,Tela,reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Running Energen Tech Plus,4.8,63866828,,,349990.0,Running,
Tenis moda,Mujer,Normal,Cuero,diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Diadora para Mujer Moda Bamtela2,5.0,883016836,,,249990.0,Lifestyle,
Tenis,Hombre,Normal,Tela,nike,Goma,Poliéster,Toda temporada,Indonesia,Poliéster,Tenis Nike para Hombre Running Revolution7,0.0,72875577,,,344990.0,Running,
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Mujer Moda Dluxfitness Brightba,4.8,72791563,,,369990.0,,Poliéster
Tenis moda,Mujer,Normal,Sintético,skechers,Goma,,Toda temporada,Vietnam,,Tenis moda Skechers Skech-Airdynamight Mujer,4.9,72837136,,,269990.0,,Poliéster
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793527,13989.0,15989.0,199900.0,,
Tenis moda,Mujer,,Sintético,diadora,Sintético,,Toda temporada,China,,Tenis Diadora Mujer Moda Sildan,4.8,882763707,,,239990.0,,Sintético
Tenis deportivos,Hombre,Normal,Tela,nike,Caucho,Sintético,Toda temporada,Indonesia,Sintético,Tenis Nike Hombre Cross Training Legend Essential 3 Nn,4.6,56488706,,,489990.0,Cross training,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793541,13989.0,15989.0,199900.0,,
Tenis moda,Niño,Normal,Sintético,asics,Caucho,Poliéster,Toda temporada,Camboya,Poliéster,Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño,5.0,72835914,,,369990.0,,
Tenis moda,Mujer,Normal,Cuero,reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,Tenis Reebok Mujer Moda Club C 85,4.8,72714000,,,349900.0,Lifestyle,
Tenis moda,Hombre,Normal,Sintético,adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Moda Court,4.9,72824983,17999.0,20999.0,299990.0,,
,Hombre,,,,,,,,,ZAPATILLA ADIDAS HOMBRE BLANCO GRAND COURT BASE 2.0 - GW9250,0.0,129078758,242929.0,266955.0,299950.0,Running,
Tenis moda,Hombre,Normal,Sintético,diadora,Caucho,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda James7,5.0,883015900,,,159990.0,Lifestyle,
Tenis moda,Niño,Normal,Cuero,reebok,Goma,Textil,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,0.0,72793531,13989.0,15989.0,199900.0,,
Tenis moda,Hombre,Normal,Sintético,diadora,Goma,Malla (nylon),Toda temporada,China,Malla (Nylon),Tenis Diadora para Hombre Moda Nextgen,4.3,883016000,,,179990.0,Lifestyle,
