brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Slip Ins Ultra Flex 3.0'],['(0)'],['Código: 72778443'],233.890,272.890,389.900,,
Under Armour,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,,['Tenis Under Armour Mujer Running Surge 3'],['4.9 (17)'],['Código: 42790553'],216.890,247.890,309.900,Running,
Reebok,Tenis,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,['Tenis Reebok para Mujer Cross Training Nanoflex Tr 2 | Tenis para Mujer de Cross Training Color Azul'],['4 (2)'],['Código: 72804665'],272.990,311.990,389.990,Cross training,
Nike,Tenis,Hombre,Normal,Tela,Poliéster,Goma,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Hombre Running Revolution7'],['(0)'],['Código: 72875577'],,,344.990,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Go Walk Air 2.0 Clas'],['(0)'],['Código: 72778360'],227.890,265.890,379.900,,
Nike,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Nike para Mujer Running Revolution 6 Nn'],['5 (1)'],['Código: 72784006'],251.990,287.990,359.950,Running,Poliéster
Nike,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,Toda temporada,Vietnam,Sintético,['Tenis Nike Hombre Cross Training Renew Retaliation 4'],['4.8 (4)'],['Código: 56488644'],,,,Cross training,
Nike,Tenis moda,Mujer,Normal,Cuero,,Goma,Toda temporada,Indonesia,Poliéster,['Tenis Nike para Mujer Moda Blazer LoPlatform'],['5 (3)'],['Código: 72783810'],384.990,439.990,549.990,,Poliéster
Reebok,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Running Energen Run 3'],['5 (3)'],['Código: 72713886'],223.890,255.890,319.900,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Gorunsupersonic'],['4 (1)'],['Código: 72791525'],221.990,258.990,369.990,,Poliéster
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,"[""Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis blancos cómodos Skechers para mujer. Zapatillas moda D'Luxfitness""]",['4.9 (11)'],['Código: 70961994'],215.890,251.890,359.900,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Diadora Mujer Moda Sildan2'],['4 (5)'],['Código: 882814798'],149.990,174.990,249.990,Lifestyle,
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,,['Tenis Adidas para Mujer Moda Lite Racer 3.0'],['4.8 (902)'],['Código: 25623763'],,,329.990,Lifestyle,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),['Tenis Fratta para Hombre Running Rollinarew'],['4.3 (3)'],['Código: 883014557'],77.990,90.990,129.990,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc'],['5 (1)'],['Código: 72820794'],191.990,199.990,319.990,,
Skechers,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,China,,['Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis rosados cómodos Skechers para mujer. Zapatillas moda Cross training Go Run Elevate Quick Stride'],['4.9 (14)'],['Código: 61896433'],191.990,223.990,319.990,Cross training,
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,"[""Tenis Nike para Mujer Moda Nike Blazer Low '77 Jumbo | Zapatillas Nike para Mujer Blazer Low 77""]",['(0)'],['Código: 72833000'],384.990,439.990,549.990,,
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,China,Poliéster,"[""Tenis Nike para Mujer Moda Nike Blazer Low '77 | Zapatillas Nike para Mujer Blazer Low 77""]",['(0)'],['Código: 72832989'],339.490,387.990,484.950,,
New Balance,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis moda New Balance 500 Mujer'],['4.4 (8)'],['Código: 66428890'],209.990,239.990,299.990,Lifestyle,
New Balance,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,['Tenis New Balance para Mujer Moda 550'],['(0)'],['Código: 72802544'],,,769.990,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,['Tenis Skechers para Mujer Moda Go Walk Air 2.0'],['5 (1)'],['Código: 72778345'],227.890,265.890,379.900,,
Adidas,Tenis moda,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,Sintético,['Tenis Adidas para Mujer Moda Court Platform'],['4.7 (418)'],['Código: 72889168'],,,359.990,Lifestyle,
Nike,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,Toda temporada,Indonesia,Sintético,['Tenis Nike Hombre Cross Training Legend Essential 3 Nn'],['4.6 (18)'],['Código: 56488706'],,,489.990,Cross training,
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis Adidas para Hombre Moda VL Court 3.0'],['4.8 (57)'],['Código: 72888871'],,,329.990,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,,['Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Go Walk Glide'],['5 (1)'],['Código: 55996860'],,,,,
Adidas,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,['Tenis Adidas Mujer Moda Alphaedge +'],['4.3 (3)'],['Código: 72712557'],265.990,303.990,379.990,Lifestyle,
Reebok,Tenis moda,Mujer,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Moda Club C 85'],['4.8 (5)'],['Código: 72714000'],244.890,279.890,349.900,Lifestyle,
Under Armour,Tenis,Hombre,Normal,Tela,Textil,Sintético,Toda temporada,Indonesia,Textil,['Tenis Under Armour Mujer Running Charged Pursuit 3'],['4.7 (40)'],['Código: 42790421'],251.890,287.890,359.900,Running,
Sybilla,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,['Tenis Sybilla para Mujer Moda Bersynew'],['4.7 (6)'],['Código: 882994532'],99.990,,,Lifestyle,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch'],['4.7 (3)'],['Código: 72820757'],191.990,199.990,319.990,,
Fratta,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,['Tenis Fratta Hombre Running Zoenty'],['4.6 (26)'],['Código: 882678778'],77.990,90.990,129.990,Running,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,['Tenis Skechers para Mujer Moda Ultra Flex 3 Cls Ch'],['5 (2)'],['Código: 72820771'],191.990,199.990,319.990,,
New Balance,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,['Tenis New Balance Hombre Running 430'],['4.8 (10)'],['Código: 66428926'],,,,Running,
