type,gender,last_type,material,brand,sole_material,lining_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793527'],139.890,159.890,199.900,,
Tenis deportivos,Mujer,Normal,Tela,Reebok,Goma,Sintético,Toda temporada,Vietnam,Sintético,['Tenis Reebok Mujer Cross training Flexagon Energy Tr 4'],['4.6 (27)'],['Código: 72713984'],209.990,,,Cross training,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Tenis Duramo Rc'],['4.7 (615)'],['Código: 72094065'],249.990,,,Running,
Tenis moda,Mujer,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,Vietnam,,['Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos negro Skechers para mujer. Zapatillas moda Go Walk Glide'],['5 (1)'],['Código: 55996860'],,,,,
Tenis,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas para Hombre Running Switch Move'],['4.8 (178)'],['Código: 72738192'],249.990,,,Running,
Tenis moda,Mujer,Normal,Cuero,New Balance,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis New Balance para Mujer Moda 373'],['(0)'],['Código: 72894299'],249.990,,,Lifestyle,
Tenis moda,Niño,Normal,Cuero,Reebok,Goma,Textil,Toda temporada,China,Textil,['Tenis Reebok Classic para Niño'],['(0)'],['Código: 72793543'],139.890,159.890,199.900,,
Tenis moda,Niño,Normal,Sintético,Skechers,Goma,Poliéster,Toda temporada,China,Poliéster,['Tenis moda Skechers Bounder Rozerg para Niño'],['(0)'],['Código: 72882966'],,,179.990,,
Tenis deportivos,Hombre,Normal,Tela,Adidas,Caucho,Textil,Toda temporada,Indonesia,Textil,['Tenis Adidas Hombre Running  Switch Move U'],['4.9 (22)'],['Código: 71786722'],249.990,,,Running,
Tenis,Hombre,Normal,Sintético,Puma,Caucho,,Toda temporada,China,Textil,['Tenis Puma para Hombre Lifestyle Up'],['5 (10)'],['Código: 72794163'],229.990,,,Lifestyle,Textil
Tenis moda,Mujer,Normal,Sintético,Adidas,Caucho,Textil,Toda temporada,Vietnam,Textil,['Tenis Adidas Mujer Moda Court Plataform'],['4.7 (631)'],['Código: 70488601'],329.990,,,Lifestyle,
Tenis moda,Mujer,Normal,Sintético,Skechers,Sintético,,Toda temporada,China,,['Tenis Moda Skechers Summits Mujer'],['4.9 (15)'],['Código: 51528279'],199.990,,,,Poliéster
,Hombre,,Textil,,,,,,,['Tenis Hombre Reebok Rider V - Gris-Blanco'],['(0)'],['Código: 128281449'],186.459,204.900,272.900,,
