Name,Rating,Code,CMR Price,Event Price,Full Price,nombre_comercial,marca,modelo,tipo,género,horma,material,material_del_forro,material_de_la_suela,tipo_de_caña,,temporada,material_del_interior,hecho_en,transpirabilidad_de_la_tela,altura_de_la_plataforma,tipo_de_ajuste,forma_de_la_punta,altura_del_tacón,tipo_de_suela,registro_sic
Tenis Skechers para Mujer Moda Slip Ins Ultra Flex 3.0,(0),Código: 72778443,233.890,272.890,389.900,Ultraflex - Slip In,Skechers,149709MVE,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Under Armour Mujer Running Surge 3,4.9 (17),Código: 42790553,216.890,247.890,309.900,Surge 3,Under Armour,3024894-602,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Reebok para Mujer Cross Training Nanoflex Tr 2 | Tenis para Mujer de Cross Training Color Azul,4 (2),Código: 72804665,272.990,311.990,389.990,Nanoflex Tr 2,Reebok,100033772,Tenis,Mujer,Normal,Sintético,Textil,Goma,,,Toda temporada,,,,,,,,,
Tenis Nike para Hombre Running Revolution7,(0),Código: 72875577,,,344.990,Revolution,Nike,FB2207-001-BLK,Tenis,Hombre,Normal,Tela,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Go Walk Air 2.0 Clas,(0),Código: 72778360,227.890,265.890,379.900,Go Walk,Skechers,124362NVPR,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Nike para Mujer Running Revolution 6 Nn,5 (1),Código: 72784006,251.990,287.990,359.950,Revolution 6 Nn,Nike,DC3729-012,Tenis deportivos,Mujer,Normal,Sintético,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Nike Hombre Cross Training Renew Retaliation 4,4.8 (4),Código: 56488644,,,,Nike Renew Retaliation 4,Nike,DH0606-101-WHT,Tenis deportivos,Hombre,Normal,Tela,Sintético,Caucho,,,Toda temporada,,,,,,,,,
Tenis Nike para Mujer Moda Blazer LoPlatform,5 (3),Código: 72783810,384.990,439.990,549.990,Blazer,Nike,DJ0292-103-WHT,Tenis moda,Mujer,Normal,Cuero,,Goma,,,Toda temporada,Poliéster,,,,,,,,
Tenis Reebok Mujer Running Energen Run 3,5 (3),Código: 72713886,223.890,255.890,319.900,Energen Run 3,Reebok,100033967,Tenis deportivos,Mujer,Normal,Tela,Sintético,Goma,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Gorunsupersonic,4 (1),Código: 72791525,221.990,258.990,369.990,Gorunsupersonic,Skechers,172031BKW,Tenis moda,Mujer,Normal,Sintético,,Caucho,,,Toda temporada,Poliéster,,,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis blancos cómodos Skechers para mujer. Zapatillas moda D'Luxfitness,4.9 (11),Código: 70961994,215.890,251.890,359.900,D'Luxfitness,Skechers,149835WMLT,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,,,Toda temporada,,,,,,,,,
Tenis Diadora Mujer Moda Sildan2,4 (5),Código: 882814798,149.990,174.990,249.990,Sildan2,Diadora,W SILDAN2 NE,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,,,Toda temporada,,,,,,,,,
Tenis Adidas para Mujer Moda Lite Racer 3.0,4.8 (902),Código: 25623763,,,329.990,Lite Racer 3.0,Adidas,GY0699LITE0201,Tenis moda,Mujer,Normal,Tela,Textil,Caucho,,,Toda temporada,,,,,,,,,
Tenis Fratta para Hombre Running Rollinarew,4.3 (3),Código: 883014557,77.990,90.990,129.990,Rollinarew,Fratta,Rollinarew Ne,Tenis,Hombre,Normal,Tela,Malla (nylon),Sintético,,,Toda temporada,,,,,,,,,
Tenis Skechers para Mujer Moda Ultraflex 3 Lets Dnc,5 (1),Código: 72820794,191.990,199.990,319.990,Ultraflex,Skechers,149865WSL,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,No aplica,,,,,,,,,,,
Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis rosados cómodos Skechers para mujer. Zapatillas moda Cross training Go Run Elevate Quick Stride,4.9 (14),Código: 61896433,191.990,223.990,319.990,Go Run Elevate Quick Stride,Skechers,128317MVE,Tenis deportivos,Mujer,Normal,Sintético,Sintético,Caucho,,,Toda temporada,,,,,,,,,
